20180517000000010133 0046289000100000020180517075704600005232040                                             
20180517000000020133 10015449000245922N01130000001000000001000                  000764088                0   
20180517000000030133 10018000965153430N01110000001390000001000                  000231680                0   
20180517000000040133 1020                  0000002390000000000                  00                       0   
20180517000000050133 0046290000100000020180517080404600071791140                                             
20180517000000060133 1001      2154070N04070000001701000000347                  006850473                0   
20180517000000070133 1001      2120110N02100000004861000000406                  001515006                0   
20180517000000080133 1077                  000000001000000000010433    99000718500                       0   
20180517000000090133 1020                  0000006560000000000                  00                       0   
20180517000000100133 0046291000100000020180517080504600003631210                                             
20180517000000110133 1001      2144260N04500000002071000000110                  001320136                0   
20180517000000120133 1001      2144260N04500000003381000000180                  001320136                0   
20180517000000130133 10014005900388773N01200000002990000001000                  002295117                0   
20180517000000140133 1001      2154140N04070000001251000000291                  006850062                0   
20180517000000150133 10018000965210591N01110000000890000001000                  000471162                0   
20180517000000160133 1001           17N01250000000100000001000                  002019096                0   
20180517000000170133 1001           17N01250000000100000001000                  002019096                0   
20180517000000180133 1001           17N01250000000100000001000                  002019096                0   
20180517000000190133 10018013355000290N01110000001490000001000                  000348001                0   
20180517000000200133 10018013355000290N01110000001490000001000                  000348001                0   
20180517000000210133 10018000965232364N01200000001490000001000                  002309415                0   
20180517000000220133 10018009810007744N01200000001990000001000                  002301379                0   
20180517000000230133 10018009810007744N01200000001990000001000                  002301379                0   
20180517000000240133 1077                  000000014000000000010433    99000718500                       0   
20180517000000250133 1020                  0000019330000000000                  00                       0   
20180517000000260133 0046292000100000020180517081004600071316550                                             
20180517000000270133 10018006287002593N04070000002650000001000                  006872743                0   
20180517000000280133 10018006287002593N04070000002650000001000                  006872743                0   
20180517000000290133 10018004025000016N01110000008600000001000                  000455340                0   
20180517000000300133 1077                  000000008000000000010433    99000718500                       0   
20180517000000310133 1020                  0000013900000000000                  00                       0   
20180517000000320133 0046293000100000020180517082104600000277190                                             
20180517000000330133 1001      2160880N04070000001801000000130                  006774886                0   
20180517000000340133 10132160880000007N0407000000072000000000010438    99000721900                       0   
20180517000000350133 10018000965170147N03500000000990000001000                  001856691                0   
20180517000000360133 10138000965170147N0350000000030000000000010438    99000721900                       0   
20180517000000370133 10018002183013503N01110000001990000001000                  000204558                0   
20180517000000380133 10018005023012216N04200000001980000001000                  001152059                0   
20180517000000390133 10918005023012216N0420000000066000000000010434    99000789900                       0   
20180517000000400133 1020                  0000005080000000000                  00                       0   
20180517000000410133 0046294000100000020180517082904600051326470                                             
20180517000000420133 10018000500062654N04200000001890000001000                  001122074                0   
20180517000000430133 10018015836060236N01120000002490000001000                  000861115                0   
20180517000000440133 1001      2133780N03100000001271000000510                  001710250                0   
